Logopaede*in (freiberuflich oder Kassenvertrag), Kirchdorf an der Krems;Lebenshilfe Oberoesterreich; Kirchdorf an der Krems; Teilzeit;23.05. 
Hebamme;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
Aerztin/Arzt in Ausbildung zur/zum Fachaerztin/arzt fuer Anaesthesiologie und Intensivmedizin;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
Aerztin/Arzt in Basisausbildung;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
Aerztin/Arzt in Ausbildung fuer Allgemeinmedizin (AEAO 2006 und 2015);Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
PflegefachassistentIn;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
Fachaerztin/arzt fuer Anaesthesiologie und Intensivmedizin;Oberoesterreichische Gesundheitsholding GmbH; Vollzeit; Teilzeit;18.05. 
Staplerfahrer (m/w/d);AKZENTE PersonalbereitstellungsgesmbH; Kirchdorf an der Krems; Vollzeit;17.05. 
Kuechenhilfe (m/w/x) Markt;BILLA AG; Micheldorf; Geringfuegig;17.05. 
Kassier:in mit Regalbetreuung Samstag;Penny Oesterreich; Pettenbach; Geringfuegig;17.05. 
Jungkoch:Jungkoechin;BILLA AG; Micheldorf; Teilzeit;17.05. 
Mitarbeiter:in Verkauf;BIPA Parfuemerien GmbH; Kirchdorf an der Krems; Teilzeit;17.05. 
Filialleiter:in;Penny Oesterreich; Windischgarsten; Vollzeit;17.05. 
Kassier:in mit Regalbetreuung;Penny Oesterreich; Windischgarsten; Teilzeit;17.05. 
Kassier:in mit Regalbetreuung;Penny Oesterreich; Pettenbach; Teilzeit;17.05. 
Kassier:in mit Regalbetreuung;Penny Oesterreich; Kirchdorf an der Krems; Teilzeit;17.05. 
Filialleiter:in;Penny Oesterreich; Kirchdorf an der Krems; Vollzeit;17.05. 
Filialleiter:in;Penny Oesterreich; Pettenbach; Vollzeit;17.05. 
Koch:Koechin;BILLA AG; Micheldorf; Vollzeit;17.05. 
VERKAEUFER:IN (m/w/d) TEILZEIT (30 Std) – 4560 Kirchdorf an der Krems;JYSK GmbH; Kirchdorf an der Krems; Teilzeit;16.05. 
Wirkstofferzeuger (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Ried im Traunkreis; Vollzeit;16.05. 
Verkaeufer:in Theke;BILLA AG; Gruenburg; Teilzeit;16.05. 
Mechatroniker (m/w/d);TTI Personaldienstleistung GmbH & Co KG; Micheldorf; Vollzeit;16.05. 
